S,tau,scen,mode,cv_bias,cv_mean,P_switch,G_gate,G_nogate,dims_kept,rule,G_F,G_S,P_switch_to_worse,report_bias_when_switch,r,split,cv_sd,G_F_gate,G_S_gate,G_F_written,P_write,relax_share_selected,G_F_selected_nogate
S7,1.8,one+3,,,,1.0,,,,argmax 不设门,2.953530188169887,2.8665,0.0,,,,,,,,,,
S6,1.8,one+3,,-0.12274925747639946,,0.693,,,,pooled,2.859368795605106,2.862,,,0.0,i_整年2折,6.919719017523486,2.059412951792512,2.022,,,,
S6,1.8,one+3,,0.07337070144626226,,0.693,,,,worst,2.663248836682445,2.769,,,0.0,i_整年2折,6.7446811229693004,1.968095783453542,1.959,,,,
S6,1.8,one+3,,-0.019278880431659515,,0.703,,,,pooled,2.859368795605106,2.862,,,0.0,ii_半年4折_purge,6.959305560049616,2.1048542348337023,2.049,,,,
S6,1.8,one+3,,0.1391081322480998,,0.694,,,,worst,2.4248292716325395,2.532,,,0.0,ii_半年4折_purge,6.242583004638021,1.8106897161500506,1.872,,,,
S6,1.8,one+3,,-0.28853481306410106,,0.678,,,,pooled,2.6989842260703374,2.838,,,0.5,i_整年2折,7.1405919517012695,1.8877991415235087,1.962,,,,
S6,1.8,one+3,,-0.20140492869281984,,0.678,,,,worst,2.611854341699056,2.781,,,0.5,i_整年2折,6.874981063698803,1.8891383816157226,1.941,,,,
S6,1.8,one+3,,1.0933808364300421,,0.765,,,,pooled,2.6989842260703374,2.838,,,0.5,ii_半年4折_purge,7.156879282096887,2.065984892359319,2.205,,,,
S6,1.8,one+3,,1.2339702534043022,,0.784,,,,worst,2.417080521312779,2.604,,,0.5,ii_半年4折_purge,6.312417430831297,1.9991178986683675,2.145,,,,
S6,1.8,one+3,,-0.053874991336021506,,0.68,,,,pooled,2.7968772674122686,2.871,,,1.0,i_整年2折,6.98317314046316,1.9327444138243057,1.989,,,,
S6,1.8,one+3,,0.09665488463879035,,0.68,,,,worst,2.646347391437457,2.724,,,1.0,i_整年2折,6.8662565065823875,1.864621723247972,1.917,,,,
S6,1.8,one+3,,1.8396251666625225,,0.814,,,,pooled,2.7968772674122686,2.871,,,1.0,ii_半年4折_purge,6.712108358907011,2.3631970404757654,2.361,,,,
S6,1.8,one+3,,2.1362423134533044,,0.843,,,,worst,2.574309781748595,2.634,,,1.0,ii_半年4折_purge,5.971012011141254,2.309410330178958,2.304,,,,
S7,1.8,nearopt,,,,0.16475,,,,E0_中心=格均值_>δ才换,-0.2660482492985297,-0.264016449734479,0.16475,5.336486997607443,,,,,,,,,
S7,1.8,nearopt,,,,0.32875,,,,E0_中心=0_>δ才换,-0.5411031242795191,-0.556652545863855,0.32875,5.198285507733579,,,,,,,,,
S7,1.8,nearopt,,,,0.2255,,,,argmax+整年留出>0才换,-0.6574122061335935,-0.6758058461656005,0.2255,5.604279560144114,,,,,,,,,
S7,1.8,nearopt,,,,0.99325,,,,argmax 不设门,-2.3709749897937753,-2.4664386232970146,0.99325,,,,,,,,,,
