symbol,mfr,fp
OCEA,0.43423419181774947,none
OCEA,0.43691375992584147,none
OCEA,0.1169724166117374,none
OCEA,0.49624056039478526,up
OCEA,0.12307699361496671,none
OCEA,1.030612192532884,up
OCEA,0.7324841127051662,up
OCEA,1.0567374912151846,down
OCEA,11.019749636587337,up
COF-PK,0.04230767721285411,none
COF-PK,0.0021808498667210685,down
COF-PK,0.04276676687252068,down
COF-PK,0.016205891816631013,down
COF-PK,0.12051799614465186,up
COF-PK,0.06842110887450303,up
COF-PK,0.008220653899590369,down
COF-PK,0.07132433984006825,up
COF-PK,0.00888375363969729,down
COF-PK,0.0059035824791986435,down
COF-PK,0.016192842964799725,down
COF-PK,0.009244207047449882,none
MDBH,0.34140194615932073,up
MDBH,0.29756095858998877,up
MDBH,0.019077438280159065,down
MDBH,0.3033176003428708,down
MDBH,0.45118734969878727,up
MDBH,0.08882515069556729,down
MDBH,0.24123827995855152,down
MDBH,0.123829404429872,none
MDBH,0.3184079351774769,none
MDBH,0.24269003075739026,down
MDBH,0.24999997290698017,down
MDBH,0.0027696762093039062,down
FMHS,1.1868750941799973,none
FMHS,0.3400000333786011,down
FMHS,-0.06220693469970018,down
FMHS,0.48500001430511475,down
FMHS,0.40103155231955157,none
FMHS,0.9323670854228852,up
FMHS,0.0,down
FMHS,4.821963480874044,up
FMHS,0.724999995343387,up
FMHS,0.16317429725981536,down
FMHS,0.3799999448657043,up
FMHS,8.284584940079515,up
ABLV,0.06470581882965365,down
ABLV,0.21923084329571507,none
ABLV,0.2184873764380746,none
ABLV,0.18773947480130193,down
ABLV,0.3133333524068196,none
ABLV,0.17341640269071346,down
ABLV,0.7019231210093542,up
ABLV,0.18283581989967734,none
ABLV,0.5966385586535723,up
ABLV,-0.02262441242227664,down
ABLV,0.9791666860692207,up
ABLV,0.48120298123601035,up
PALL,0.027566419193324476,none
PALL,0.1782716350790896,up
PALL,0.05733347798956889,none
PALL,0.35788960495002753,up
PALL,0.42930022758199815,up
PALL,0.07808858767501525,none
PALL,0.0379130322000254,down
PALL,0.0730091499728629,none
PALL,0.02104939748108059,down
PALL,0.35543838416764495,up
PALL,0.20993922115369634,up
PALL,0.10906983741706422,down
MPT,0.04453424134602546,down
MPT,0.20711293640900386,down
MPT,0.011369084708600985,down
MPT,0.5236592329006455,up
MPT,0.011494309660365243,down
MPT,0.27995769596496056,up
MPT,0.05410446590342266,none
MPT,0.028559309344063033,down
MPT,0.005393064065300601,down
MPT,0.03551377660487187,down
MPT,0.1260922910104587,none
MPT,0.17248884704244993,up
ELEEF,0.04976674847829976,down
ELEEF,0.09103616105962775,down
ELEEF,0.08571690306974733,down
ELEEF,0.06642595532847095,up
ELEEF,0.006191797801128329,down
ELEEF,0.07644856477403406,none
ELEEF,0.03496098586064278,down
ELEEF,0.018310786164206228,down
ELEEF,0.17842521315404114,up
ELEEF,0.18545898940411565,up
ELEEF,0.056842134718010806,down
ELEEF,0.15934063085991168,up
JWSMF,0.0010162834071913984,none
JWSMF,0.008163257362146625,none
JWSMF,0.038690510543115675,up
JWSMF,0.0010173172898728655,down
JWSMF,0.0325443700722714,both
