symbol,bars,n_pk_high,n_pk_close,n_pk_shared,n_pk_high_only,n_pk_close_only,mean_price_ratio,n_bo_high,n_bo_close,n_bo_shared,n_bo_high_only,n_bo_close_only,mean_dist_close_only
AMJB,366,1,1,1,0,0,1.0029108754614677,2,1,1,1,0,
GTCH,366,3,6,2,1,4,1.2352941554115449,1,2,1,0,1,60.5
REOS,366,19,17,13,6,4,1.0030402940572265,6,8,6,0,2,2.75
STQN,366,3,3,2,1,1,1.0,3,3,3,0,0,6.0
DAIC,178,6,7,4,2,3,1.0791662720326956,0,0,0,0,0,11.333333333333334
GRAB,366,8,5,3,5,2,1.0121042420331705,4,3,2,2,1,1.0
HCWB,366,14,11,7,7,4,1.3863957184992473,3,3,3,0,0,2.5
DAC,366,1,1,1,0,0,1.0015537813512316,1,1,1,0,0,
PKG,366,0,0,0,0,0,,0,0,0,0,0,
PSN,366,4,4,2,2,2,1.0206832927023086,0,0,0,0,0,3.5
TDW,366,11,11,5,6,6,1.0255492292269697,8,10,5,3,5,1.6666666666666667
NYT,366,2,2,1,1,1,1.0046133511718316,3,3,2,1,1,1.0
MS-PA,366,0,0,0,0,0,,0,0,0,0,0,
UNTY,366,4,3,0,4,3,,6,3,2,4,1,1.0
KAVL,365,14,15,4,10,11,1.1956201175273027,4,7,2,2,5,6.181818181818182
VBIO,366,13,11,8,5,3,1.324255424233347,4,4,4,0,0,2.6666666666666665
AZZTF,366,17,20,6,11,14,1.0463539106138697,14,16,8,6,8,3.5
ARTNB,366,0,0,0,0,0,,0,0,0,0,0,
IMMR,366,5,3,3,2,0,1.0151144907192646,2,2,1,1,1,
DRIO,366,15,16,4,11,12,1.021592882475104,7,12,6,1,6,7.833333333333333
SGHT,366,18,16,7,11,9,1.0241114969286105,14,13,9,5,4,1.6666666666666667
KFY,366,0,0,0,0,0,,0,0,0,0,0,
APD,366,1,1,0,1,1,,2,3,2,0,1,4.0
JBLU,366,16,13,6,10,7,1.0273652297579112,10,12,4,6,8,4.0
ZTO,366,3,2,1,2,1,1.011488970467389,3,1,1,2,0,1.0
ARDT,366,7,5,1,6,4,1.0012978882518957,6,3,1,5,2,8.5
KMB,366,1,1,0,1,1,,0,0,0,0,0,9.0
SBUX,366,3,2,0,3,2,,0,1,0,0,1,2.5
AAON,366,14,12,7,7,5,1.009266933347377,7,7,5,2,2,6.4
VIVC,366,12,13,7,5,6,1.0187399897905505,2,6,2,0,4,3.1666666666666665
SAJ,366,0,0,0,0,0,,0,0,0,0,0,
ZSL,366,13,11,8,5,3,1.016651682400788,3,2,2,1,0,8.666666666666666
CHRD,366,3,1,1,2,0,1.0148663127803432,5,2,2,3,0,
OST,366,11,9,4,7,5,1.1363607543659238,8,7,3,5,4,3.2
OCCIN,366,0,0,0,0,0,,0,0,0,0,0,
PAYC,366,5,5,2,3,3,1.0067494668734,3,3,1,2,2,19.333333333333332
ZION,366,3,2,0,3,2,,5,2,0,5,2,3.0
GTBIF,366,11,10,4,7,6,1.0283835028189299,4,3,1,3,2,2.8333333333333335
CHCI,366,13,12,6,7,6,1.0551409526204811,6,6,3,3,3,1.1666666666666667
NEXCF,366,20,18,8,12,10,1.125938721208652,7,11,4,3,7,3.0
INCR,366,7,7,2,5,5,1.0,1,3,1,0,2,6.8
BSIN,366,14,7,5,9,2,1.2076436573227487,7,5,3,4,2,2.5
ABPO,366,16,13,6,10,7,1.0778368120032706,2,4,1,1,3,2.7142857142857144
HYSR,366,12,13,6,6,7,1.0396897227458537,3,7,2,1,5,5.857142857142857
CWBHF,366,14,14,1,13,13,1.0800000429153442,6,6,3,3,3,3.923076923076923
PAX,366,3,2,2,1,0,1.0110334113073876,3,2,1,2,1,
ENGN,366,16,16,5,11,11,1.0714670019510435,7,16,6,1,10,5.090909090909091
VRME,366,17,13,9,8,4,1.0420064775618154,6,7,5,1,2,3.25
AUC,366,19,15,6,13,9,1.1985160050965125,2,3,1,1,2,2.888888888888889
HXL,366,2,2,0,2,2,,4,3,3,1,0,1.5
SRGZ,366,11,11,6,5,5,1.0325000024317867,7,12,5,2,7,20.0
ALTX,366,15,14,11,4,3,1.0396903099097308,9,8,6,3,2,6.666666666666667
ADIL,366,12,13,7,5,6,1.0968359046616258,1,4,0,1,4,8.833333333333334
PRCH,366,18,18,8,10,10,1.025368922899785,10,11,6,4,5,3.7
OPAD,366,15,14,6,9,8,1.1429625973447048,10,9,5,5,4,1.25
PCG-PG,188,1,0,0,1,0,,0,0,0,0,0,
MITT-PC,366,1,1,0,1,1,,2,3,2,0,1,1.0
DUO,366,17,15,10,7,5,1.1986895866764495,4,4,3,1,1,3.6
BKPKF,366,3,4,3,0,1,1.0,2,3,2,0,1,7.0
EBRZF,366,0,0,0,0,0,,0,0,0,0,0,
DKNG,366,12,8,4,8,4,1.0098748211059894,7,8,3,4,5,5.75
APH,366,4,3,3,1,0,1.0062460653183278,2,1,1,1,0,
GRDN,361,12,9,3,9,6,1.0253814440081166,9,11,6,3,5,2.3333333333333335
KMI,366,1,1,0,1,1,,2,2,1,1,1,6.0
GSKRF,366,15,10,5,10,5,1.0435183806351034,13,11,5,8,6,2.4
KSPI,366,3,1,1,2,0,1.015249185116473,0,0,0,0,0,
PLCKF,366,19,14,5,14,9,1.046501617729391,1,4,1,0,3,7.111111111111111
APLM,366,21,22,10,11,12,1.1672199776711372,9,11,6,3,5,3.4166666666666665
AGNCO,366,0,0,0,0,0,,0,0,0,0,0,
CPIVF,366,20,19,15,5,4,1.3333333581686024,8,10,8,0,2,5.0
SKY,366,9,10,1,8,9,1.0107284703473653,4,4,2,2,2,5.333333333333333
SUGRF,366,2,2,2,0,0,1.0,1,1,1,0,0,
FFLO,366,0,0,0,0,0,,0,0,0,0,0,
MTRN,366,7,5,2,5,3,1.018426771032459,7,6,1,6,5,2.3333333333333335
ADSK,366,1,1,1,0,0,1.0070133057494046,0,0,0,0,0,
CNA,366,0,0,0,0,0,,0,0,0,0,0,
HWCPZ,366,0,0,0,0,0,,0,0,0,0,0,
VIOT,366,17,18,5,12,13,1.0307417739264377,7,8,6,1,2,3.6923076923076925
OPY,366,3,3,3,0,0,1.0171684749413503,3,2,1,2,1,
ATH-PE,366,0,0,0,0,0,,0,0,0,0,0,
GNRC,366,11,9,7,4,2,1.0120742180894478,9,8,5,4,3,2.5
AWP,366,0,0,0,0,0,,0,0,0,0,0,
CNDHF,366,0,0,0,0,0,,0,0,0,0,0,
OSBK,366,0,0,0,0,0,,0,0,0,0,0,
TFIN-P,366,0,0,0,0,0,,0,0,0,0,0,
PLD,366,1,1,0,1,1,,2,2,1,1,1,1.0
HOOD,366,10,9,2,8,7,1.0241451744304935,9,6,1,8,5,5.0
CNTM,366,13,19,7,6,12,1.0726083744555786,5,7,4,1,3,6.5
ELCPF,366,1,1,1,0,0,1.0,1,1,1,0,0,
BHE,366,5,2,0,5,2,,5,3,1,4,2,1.5
LARAX,366,0,0,0,0,0,,0,0,0,0,0,
SLSR,366,15,13,2,13,11,1.0108695546541866,14,13,7,7,6,1.6363636363636365
KRNGF,366,7,7,6,1,1,1.0,6,6,6,0,0,3.0
YIBO,366,15,17,4,11,13,1.072593714726278,2,8,2,0,6,4.846153846153846
MFON,366,16,13,10,6,3,1.0166666600439287,5,6,5,0,1,3.0
FTHY,366,0,0,0,0,0,,0,0,0,0,0,
COF,366,4,3,1,3,2,1.03838300143583,4,5,0,4,5,1.0
LSTR,366,2,2,0,2,2,,1,4,0,1,4,1.5
EFC,366,0,0,0,0,0,,0,0,0,0,0,
AUB-PA,366,0,0,0,0,0,,0,0,0,0,0,
AHG,366,18,17,6,12,11,1.0444763069238678,5,13,5,0,8,4.545454545454546
KIDZ,230,8,9,5,3,4,1.341877626714156,0,0,0,0,0,8.25
CNBX,366,14,17,5,9,12,1.0440816320065789,2,8,1,1,7,5.0
OTLY,366,17,16,10,7,6,1.0311777530854678,7,15,5,2,10,4.166666666666667
AOS,366,0,0,0,0,0,,0,0,0,0,0,
GFF,366,3,2,1,2,1,1.0184358810158527,3,2,1,2,1,1.0
CPSH,366,17,12,7,10,5,1.0341191073112646,12,10,4,8,6,1.0
IBKR,366,4,3,1,3,2,1.0038515326058508,5,6,4,1,2,1.0
ISCO,366,20,18,10,10,8,1.025000004656613,8,9,7,1,2,5.375
