symbol,match_id,tb_id,bo_id,burst_id,group,n_burst_variants,is_rep,own_burst_exists,own_burst_qualified,burst_count,bo_rank_in_burst,bars_bo_to_burst_end,first_bo_idx,last_bo_idx,tb_start,tb_end,tb_date,first_drought,distinct_pk,max_bar_vol_ratio,peak_age_max,fr,dd,fp_up,fp_down,fp_both,fp_none,n_buy_bars,fp4_up,fp4_down,fp6_up,fp6_down,atr_pct,close_at_buy
DVLT,bb_v1@252-274#bo:bo_255#0|burst:burst_252_256#0|tb:tb_267_274#0,tb_267_274#0,bo_255#0,burst_252_256#0,原有,4,0,1,1,4,3,1,252,256,267,274,2025-10-14,87,4,38.4281655063112,91,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_255#0|burst:burst_252_258#0|tb:tb_267_274#0,tb_267_274#0,bo_255#0,burst_252_258#0,原有,4,0,1,1,5,3,3,252,258,267,274,2025-10-14,87,5,38.4281655063112,132,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_255#0|burst:burst_252_261#0|tb:tb_267_274#0,tb_267_274#0,bo_255#0,burst_252_261#0,原有,4,0,1,1,6,3,6,252,261,267,274,2025-10-14,87,6,38.4281655063112,162,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_256#0|burst:burst_252_256#0|tb:tb_267_274#1,tb_267_274#1,bo_256#0,burst_252_256#0,原有,3,1,1,1,4,4,0,252,256,267,274,2025-10-14,87,4,38.4281655063112,91,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_256#0|burst:burst_252_258#0|tb:tb_267_274#1,tb_267_274#1,bo_256#0,burst_252_258#0,原有,3,0,1,1,5,4,2,252,258,267,274,2025-10-14,87,5,38.4281655063112,132,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_256#0|burst:burst_252_261#0|tb:tb_267_274#1,tb_267_274#1,bo_256#0,burst_252_261#0,原有,3,0,1,1,6,4,5,252,261,267,274,2025-10-14,87,6,38.4281655063112,162,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_258#0|burst:burst_252_258#0|tb:tb_267_274#2,tb_267_274#2,bo_258#0,burst_252_258#0,原有,2,1,1,1,5,5,0,252,258,267,274,2025-10-14,87,5,38.4281655063112,132,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_258#0|burst:burst_252_261#0|tb:tb_267_274#2,tb_267_274#2,bo_258#0,burst_252_261#0,原有,2,0,1,1,6,5,3,252,261,267,274,2025-10-14,87,6,38.4281655063112,162,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
DVLT,bb_v1@252-274#bo:bo_261#0|burst:burst_252_261#0|tb:tb_267_274#3,tb_267_274#3,bo_261#0,burst_252_261#0,原有,1,1,1,1,6,6,0,252,261,267,274,2025-10-14,87,6,38.4281655063112,162,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
ELA,bb_v1@224-232#bo:bo_224#0|burst:burst_224_232#0|tb:tb_227_231#0,tb_227_231#0,bo_224#0,burst_224_232#0,新增,1,1,1,0,3,1,8,224,232,227,231,2025-08-18,69,3,3.286595722555375,148,0.17304707971806232,-0.03332823478144509,0,0,0,5,5,0,0,0,0,0.05596740907175528,7.059999942779541
