symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
VVOS,tb_206#3,原有,True,1,206,2025-07-18,200,200,200,0,0,106,6,190.46296732473985,118,0.02113396297138359,-0.4261168701622434,0,1,0,0,0,1,0,0,1,0.1436052479739695
WIMI,tb_256#0,新增,True,1,256,2025-09-29,249,251,251,0,1,45,3,3.9465439113860317,91,0.08008566731674449,-0.4282655176286797,0,1,0,0,0,1,0,1,1,0.08723171706607734
WIMI,tb_256#1,原有,True,1,256,2025-09-29,251,251,251,0,0,45,3,3.9465439113860317,91,0.08008566731674449,-0.4282655176286797,0,1,0,0,0,1,0,1,1,0.08723171706607734
WSTRF,tb_248#0,新增,False,1,248,2025-09-17,246,251,251,2,2,75,4,7.750678476977977,73,0.4534883227314175,-0.34447675917081977,1,0,0,0,1,0,1,0,1,0.04723064816339173
WSTRF,tb_253_254#0,新增,True,1,253,2025-09-24,250,251,251,0,1,75,4,7.750678476977977,73,0.04578580324489623,-0.6158337787746333,0,2,0,0,0,2,0,2,2,0.052339590945093356
WSTRF,tb_253_254#1,原有,True,1,253,2025-09-24,251,251,251,0,0,75,4,7.750678476977977,73,0.04578580324489623,-0.6158337787746333,0,2,0,0,0,2,0,2,2,0.052339590945093356
VIOT,tb_207_210#0,新增,True,1,207,2025-07-21,196,197,197,0,1,70,3,88.78944190459761,71,0.28699949184901186,-0.16250591609921192,0,0,0,4,0,0,0,0,4,0.12392175467637472
VIOT,tb_207_210#1,原有,True,1,207,2025-07-21,197,197,197,0,0,70,3,88.78944190459761,71,0.28699949184901186,-0.16250591609921192,0,0,0,4,0,0,0,0,4,0.12392175467637472
VCUFF,tb_185#0,新增,True,1,185,2025-06-17,177,182,182,0,2,80,4,5.858614317336393,167,0.6219839829693707,-0.1327077455597535,0,0,0,1,1,0,0,0,1,0.15226824016497267
VCUFF,tb_185#1,新增,True,1,185,2025-06-17,179,182,182,0,1,80,4,5.858614317336393,167,0.6219839829693707,-0.1327077455597535,0,0,0,1,1,0,0,0,1,0.15226824016497267
VCUFF,tb_185#2,原有,True,1,185,2025-06-17,182,182,182,0,0,80,4,5.858614317336393,167,0.6219839829693707,-0.1327077455597535,0,0,0,1,1,0,0,0,1,0.15226824016497267
VERI,tb_206#0,新增,False,1,206,2025-07-18,204,207,207,1,1,134,3,12.946182027659926,67,0.898230079626531,-0.15929204240010708,1,0,0,0,1,0,1,0,1,0.09107665752433858
VERI,tb_214_221#0,原有,True,1,214,2025-07-30,207,207,207,0,0,134,3,12.946182027659926,67,1.7441536493639278,-0.08243813373659029,8,0,0,0,8,0,8,0,8,0.09636584382120895
XELB,tb_263_266#0,新增,True,1,263,2025-10-08,254,260,260,0,1,231,3,43.10955590734176,67,0.11711714845760024,-0.6376997252457148,0,4,0,0,0,4,0,4,4,0.06452356486495286
XELB,tb_263_269#0,原有,True,1,263,2025-10-08,260,260,260,0,0,231,3,43.10955590734176,67,0.06797822160241473,-0.6470906065309847,0,7,0,0,0,7,0,7,7,0.06452356486495286
VNCE,tb_249#0,新增,True,1,249,2025-09-18,243,244,244,0,1,180,4,288.4597711267606,90,0.3854962874039638,-0.12977096527496945,1,0,0,0,1,0,1,0,1,0.05805608325228302
VNCE,tb_249#1,原有,True,1,249,2025-09-18,244,244,244,0,0,180,4,288.4597711267606,90,0.3854962874039638,-0.12977096527496945,1,0,0,0,1,0,1,0,1,0.05805608325228302
WHWK,tb_273_278#0,原有,True,1,273,2025-10-22,269,269,269,0,0,95,6,878.0564501831935,146,0.12613226828683136,-0.18526190480859336,0,0,0,6,0,0,0,0,6,0.07618146511968518
WATT,tb_205#0,新增,True,2,205,2025-07-17,199,206,200,1,2,129,4,6.029868629909393,106,0.5223880573409712,-0.46019900477841424,1,0,0,0,1,0,1,0,1,0.07123009433491409
WATT,tb_205#1,原有,True,2,205,2025-07-17,200,206,200,1,1,129,4,6.029868629909393,106,0.5223880573409712,-0.46019900477841424,1,0,0,0,1,0,1,0,1,0.07123009433491409
WATT,tb_209#0,原有,True,1,209,2025-07-23,206,206,206,0,0,129,4,6.029868629909393,106,0.04972372132713043,-0.6003683325347995,0,1,0,0,0,1,0,1,1,0.09058659630539845
ZENA,tb_171#0,新增,False,1,171,2025-06-09,168,172,172,1,2,129,3,83.78356328022328,62,0.5528634911832389,-0.2885462453274684,1,0,0,0,1,0,1,0,1,0.08312254640772969
ZENA,tb_171#1,新增,False,1,171,2025-06-09,169,172,172,1,1,129,3,83.78356328022328,62,0.5528634911832389,-0.2885462453274684,1,0,0,0,1,0,1,0,1,0.08312254640772969
ZENA,tb_174_176#0,原有,True,1,174,2025-06-12,172,172,172,0,0,129,3,83.78356328022328,62,0.4035301142208499,-0.35696423077245126,0,3,0,0,0,3,0,2,3,0.08982192923333525
