flat,bo.min_relative_height,bo.exceed_threshold,burst.gap_max,tb.stop_confirm_bars,tb.big_rise_k,burst.count,burst.first_drought,burst.distinct_pk,burst.max_bar_vol_ratio,burst.peak_age_max,tb.day_drop,evaluable,s,s_nb,n_eval_nb,boot_top,count_2024,fp_2024,delta_2024,count_2025,fp_2025,delta_2025,flags
6890,0.1,0.001,4,3,12.0,4,40,3,0,125,,True,0.08710724113853868,0.0054969235157491525,11,6,417,0.5737051792828686,0.08710724113853868,480,0.6952380952380952,0.11810799152272167,
47282,0.1,0.003,12,3,5.0,2,40,3,0,125,,True,0.07363308495798032,0.005278771086528189,16,0,1741,0.5602310231023102,0.07363308495798032,1852,0.6685032139577594,0.09137311024238581,
157299,0.15,0.003,12,3,3.0,1,20,3,0,125,0.2,True,0.10179966217091407,0.0052128504442190415,15,1,724,0.6012269938650306,0.11462905572070076,926,0.6789297658862876,0.10179966217091407,
268095,0.2,0.003,12,3,3.0,3,20,1,0,125,0.2,True,0.11632227723700739,0.00497937559036743,15,0,320,0.6057692307692307,0.11917129262490084,514,0.6934523809523809,0.11632227723700739,
130154,0.15,0.001,12,3,5.0,2,0,3,0,125,,True,0.07818051752711141,0.004921178335908549,16,1,2681,0.5688295936931473,0.08223165554881745,3267,0.655310621242485,0.07818051752711141,
130046,0.15,0.001,12,3,5.0,1,0,3,0,125,,True,0.07812211001942687,0.004921178335908549,15,2,2715,0.5647200481637568,0.07812211001942687,3338,0.6586325627151992,0.08150245899982567,
157682,0.15,0.003,12,3,5.0,1,0,1,0,125,,True,0.06082146436719893,0.004856039471693441,15,2,3399,0.5625,0.07590206185567011,3901,0.6379515680825725,0.06082146436719893,
157322,0.15,0.003,12,3,3.0,1,40,1,0,125,,True,0.07979210334944603,0.004473490427098659,13,0,731,0.5663900414937759,0.07979210334944603,671,0.6786516853932584,0.10152158167788483,
157419,0.15,0.003,12,3,3.0,2,20,4,0,125,0.2,True,0.10278159606387594,0.0043676936414546175,15,4,484,0.6246246246246246,0.13802668648029476,723,0.6799116997792495,0.10278159606387594,
157311,0.15,0.003,12,3,3.0,1,20,4,0,125,0.2,True,0.10278159606387594,0.0043676936414546175,14,3,485,0.6227544910179641,0.1361565528736342,723,0.6799116997792495,0.10278159606387594,
