rule,kind,n_drop,n_keep,med,fp,drop_mean_fr,drop_med_fr,kept_mean_fr,d_med,d_fp
max_drop_pct>=0.12 OR max_drop_atr>=2.0,or,21,59,0.5351811772753443,0.7619047619047619,0.7954172855505726,0.3131312523164531,0.8614595362242187,0.010048009997163376,0.034094111017187845
max_drop_pct>=0.12 AND max_drop_atr>=2.0,and,14,66,0.5417841618341942,0.7588652482269503,0.826162741501204,0.209102462466206,0.847933291708698,0.016650994556013266,0.031054597339376322
max_drop_pct>=0.12 OR max_drop_atr>=2.5,or,21,59,0.5351811772753443,0.7619047619047619,0.7954172855505726,0.3131312523164531,0.8614595362242187,0.010048009997163376,0.034094111017187845
max_drop_pct>=0.12 AND max_drop_atr>=2.5,and,7,73,0.5483871463930441,0.7361963190184049,0.3059122101780131,0.1861924325148261,0.8957327419526688,0.023253979114863155,0.008385668130830859
max_drop_pct>=0.12 OR max_drop_atr>=3.0,or,21,59,0.5351811772753443,0.7619047619047619,0.7954172855505726,0.3131312523164531,0.8614595362242187,0.010048009997163376,0.034094111017187845
max_drop_pct>=0.12 AND max_drop_atr>=3.0,and,7,73,0.5483871463930441,0.7361963190184049,0.3059122101780131,0.1861924325148261,0.8957327419526688,0.023253979114863155,0.008385668130830859
max_drop_pct>=0.12 OR max_bear_body_atr>=1.0,or,40,40,0.5283788673625691,0.7341772151898734,0.9458099979849475,0.49692737047232505,0.7424368928598257,0.003245700084388181,0.006366564302299427
max_drop_pct>=0.12 AND max_bear_body_atr>=1.0,and,19,61,0.5483871463930441,0.7692307692307693,0.7597194655634607,0.2320124924175859,0.8704132096407405,0.023253979114863155,0.041420118343195256
max_drop_pct>=0.12 OR max_bear_body_atr>=1.5,or,30,50,0.49337076064393803,0.7157894736842105,0.9910996212848109,0.5385384617498059,0.7559377399049321,-0.0317624066342429,-0.012021177203363487
max_drop_pct>=0.12 AND max_bear_body_atr>=1.5,and,13,67,0.5588235912850996,0.7880794701986755,0.3007624837069792,0.1583101794497246,0.9495516917253761,0.033690424006918684,0.06026881931110151
max_drop_pct>=0.12 OR max_bear_body_atr>=2.0,or,25,55,0.5351811772753443,0.7704918032786885,1.0246149761056018,0.3131312523164531,0.7620818405663796,0.010048009997163376,0.042681152391114474
max_drop_pct>=0.12 AND max_bear_body_atr>=2.0,and,8,72,0.5417841618341942,0.7677419354838709,0.40551544160785685,0.209102462466206,0.8928576680684456,0.016650994556013266,0.03993128459629691
max_drop_pct>=0.12 OR max_bear_body_atr>=2.5,or,23,57,0.5351811772753443,0.7661290322580645,1.0816848674404196,0.3131312523164531,0.7482653277659874,0.010048009997163376,0.038318381370490484
max_drop_pct>=0.12 AND max_bear_body_atr>=2.5,and,6,74,0.5417841618341942,0.7361963190184049,0.3537427246745615,0.209102462466206,0.88388404440194,0.016650994556013266,0.008385668130830859
max_drop_pct>=0.12 OR max_bear_body_atr>=3.0,or,21,59,0.5351811772753443,0.7619047619047619,0.7954172855505726,0.3131312523164531,0.8614595362242187,0.010048009997163376,0.034094111017187845
