symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
RLYB,tb_325#1,bo_320#0,320,325,325,2026-03-09 00:00:00,318,3,1,109.38067242251498,52,6,109.38067242251498,303,0.6134394354349161,0.07136638043156544,1.3367247807321934,0.8848797153724677,0.42220157281398407,0,0,0,1,0.024156821957355197
RPMT,tb_372_373#0,bo_366#0,366,372,373,2026-05-14 00:00:00,361,4,2,35.066812900166,92,9,35.066812900166,268,0.030369142478612894,0.6000000081094753,29.04263858316726,1.3529411867828105,0.5567429002794387,2,0,0,0,0.17211947415986067
RXT,tb_322_324#0,bo_318#0,318,322,324,2026-03-04 00:00:00,312,2,6,9.205747866577841,79,3,343.34491145374983,85,0.23093009539915219,0.1751824881032175,2.0785511660739933,4.441527381114873,0.04976058238006997,0,3,0,0,0.14473681045921405
RYDE,tb_327_332#0,bo_323#0,323,327,332,2026-03-11 00:00:00,320,2,3,0.6159821440686015,99,3,284.04187445851994,76,0.060296092737429884,0.1289854883421521,1.476048987720082,1.5974026309128257,1.2357331070476927,0,6,0,0,0.046874956344253337
RYDE,tb_326#0,bo_324#0,324,326,326,2026-03-10 00:00:00,320,3,1,0.5124150077610131,99,4,284.04187445851994,90,0.06813208730542064,0.15929201283662558,1.5851559040828616,1.7705626342878418,1.5080906557755407,0,1,0,0,0.046874956344253337
SGMT,tb_365#0,bo_359#0,359,365,365,2026-05-05 00:00:00,351,3,6,96.28379469381316,117,3,96.28379469381316,57,0.38882500985852275,0.20277482588827841,4.8865171920364965,0.46570396055437735,0.08549227230391976,0,0,0,1,0.06627914223430802
SIDU,tb_284_285#0,bo_280#0,280,284,285,2026-01-07 00:00:00,274,2,6,9.70534055961006,110,5,150.53091430978267,223,0.4436679330382411,0.17588125745942748,2.1367330916429377,1.7068967200487934,0.06520908699317907,0,2,0,0,0.08545032149617186
SIDU,tb_283_285#0,bo_281#0,281,283,285,2026-01-06 00:00:00,274,3,1,7.2996473938417195,110,6,150.53091430978267,239,0.5348345112933831,0.2557692254788775,2.486750379084053,2.7327586623278597,0.07383708390994322,0,3,0,0,0.08545032149617186
SILC,tb_303#0,bo_301#0,301,303,303,2026-02-04 00:00:00,295,3,2,1.610995684832987,123,3,27.767517374957276,98,1.5190287604874873,0.06543778923358867,0.9348078938533319,0.23926390849219525,0.11111108052992535,0,0,0,1,0.0
SPIR,tb_356#0,bo_349#0,349,356,356,2026-04-22 00:00:00,343,3,1,4.345355916143551,58,3,11.231891139570045,292,1.7743867999246046,0.2301822920751484,3.0602122972322086,0.729446875316065,0.4192665383408385,0,0,0,1,0.10371649446127043
STFS,tb_372_373#0,bo_368#0,368,372,373,2026-05-14 00:00:00,366,2,2,7.85708147718827,153,4,80.41658327567777,125,0.7060687198361998,0.4849872731796007,13.497269409105174,1.48387089522208,0.9471393253724597,0,2,0,0,0.0009990238414762764
TACT,tb_383#0,bo_381#0,381,383,383,2026-06-01 00:00:00,374,3,4,3.1487134980600366,154,3,11.397370848708487,95,0.2143730676334796,0.055319098424672,1.2128377641598502,0.21787715822096576,0.33777777353922533,1,0,0,0,0.0
